Value,Name,Stack Size,Effect,Locations,"","","","","","",Drop Restrictions
0.97,"=HYPERLINK(""https://pathofexile.gamepedia.com/Blind_Venture"",  ""Blind Venture"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""RingCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Reliquary_(Act_5)"",  ""The Reliquary (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Reliquary_(Act_10)"",  ""The Reliquary (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Museum_Map_(Betrayal)"",  ""Museum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Relic_Chambers_Map_(Betrayal)"",  ""Relic Chambers Map"")","","","",N/A
6.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Boon_of_the_First_Ones"",  ""Boon of the First Ones"")",6,"=HYPERLINK("""",  ""Bestiary Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pit_of_the_Chimera_Map_(Betrayal)"",  ""Pit of the Chimera Map"")","","","","","","",N/A
0.76,"=HYPERLINK(""https://pathofexile.gamepedia.com/Boundless_Realms"",  ""Boundless Realms"")",4,"=HYPERLINK("""",  ""Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Solaris_Temple_Level_2_(Act_8)"",  ""The Solaris Temple Level 2 (Act 8)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ivory_Temple_Map_(Betrayal)"",  ""Ivory Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Temple_Map_(Betrayal)"",  ""Temple Map"")","","","","",N/A
4.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Bowyer%27s_Dream"",  ""Bowyer's Dream"")",6,"=HYPERLINK("""",  ""Six-Link Harbinger BowItem Level: 91"")","","","","","","","",Lord of the Ashen Arrow
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Call_to_the_First_Ones"",  ""Call to the First Ones"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""Tier 1 TalismanCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Infested_Valley_Map_(Betrayal)"",  ""Infested Valley Map"")","","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Cartographer%27s_Delight"",  ""Cartographer's Delight"")",3,"=HYPERLINK("""",  ""MapMap Tier: 5"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harbour_Bridge"",  ""The Harbour Bridge"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Foothills"",  ""The Foothills"")","","","","","",N/A
5.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Chaotic_Disposition"",  ""Chaotic Disposition"")",1,"=HYPERLINK(""https://pathofexile.gamepedia.com/Chaos_Orb"",  ""5x Chaos Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Poorjoy%27s_Asylum_(Betrayal)"",  ""Poorjoy's Asylum"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Coveted_Possession"",  ""Coveted Possession"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Regal_Orb"",  ""5x Regal Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Catacombs"",  ""The Catacombs"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ossuary_(Act_5)"",  ""The Ossuary (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ossuary_(Act_10)"",  ""The Ossuary (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bone_Crypt_Map_(Betrayal)"",  ""Bone Crypt Map"")","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Death"",  ""Death"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Mon%27tregul%27s_Grasp"",  ""Mon'tregul's Grasp"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Karui_Fortress"",  ""The Karui Fortress"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bog_Map_(Betrayal)"",  ""Bog Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Flooded_Mine_Map_(Betrayal)"",  ""Flooded Mine Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Marshes_Map_(Betrayal)"",  ""Marshes Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mud_Geyser_Map_(Betrayal)"",  ""Mud Geyser Map"")","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Destined_to_Crumble"",  ""Destined to Crumble"")",5,"=HYPERLINK("""",  ""Body ArmourItem Level: 100"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Academy_Map_(Betrayal)"",  ""Academy Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Museum_Map_(Betrayal)"",  ""Museum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Scriptorium_Map_(Betrayal)"",  ""Scriptorium Map"")","","","","",N/A
0.98,"=HYPERLINK(""https://pathofexile.gamepedia.com/Dialla%27s_Subjugation"",  ""Dialla's Subjugation"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""Superior Support GemQuality: +23%Corrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ivory_Temple_Map_(Betrayal)"",  ""Ivory Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Temple_Map_(Betrayal)"",  ""Temple Map"")","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Doedre%27s_Madness"",  ""Doedre's Madness"")",9,"=HYPERLINK("""",  ""Doedre Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harvest_(area)"",  ""The Harvest (area)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Doedre%27s_Cesspool"",  ""Doedre's Cesspool"")","","","","","",Doedre or corresponding bosses
0.8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Earth_Drinker"",  ""Earth Drinker"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Granite_Flask"",  ""Granite Flask"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Vastiri_Desert"",  ""The Vastiri Desert"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Oasis"",  ""The Oasis"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Foothills"",  ""The Foothills"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Desert_Map_(Betrayal)"",  ""Desert Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dunes_Map_(Betrayal)"",  ""Dunes Map"")","","",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Emperor_of_Purity"",  ""Emperor of Purity"")",7,"=HYPERLINK("""",  ""Six-Link Holy ChainmailItem Level: 60"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Western_Forest_(Act_6)"",  ""The Western Forest (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_1_(Act_7)"",  ""The Chamber of Sins Level 1 (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_2_(Act_7)"",  ""The Chamber of Sins Level 2 (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Ruin_Map_(Betrayal)"",  ""Overgrown Ruin Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Springs_Map_(Betrayal)"",  ""Springs Map"")","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Emperor%27s_Luck"",  ""Emperor's Luck"")",5,"=HYPERLINK("""",  ""5x Currency"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Imperial_Gardens"",  ""The Imperial Gardens"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_High_Gardens"",  ""The High Gardens"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Courtyard_Map_(Betrayal)"",  ""Courtyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Orchard_Map_(Betrayal)"",  ""Orchard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Terrace_Map_(Betrayal)"",  ""Terrace Map"")","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Forbidden_Power"",  ""Forbidden Power"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Balefire"",  ""BalefireCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Solaris_Temple_Level_2_(Act_8)"",  ""The Solaris Temple Level 2 (Act 8)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harbour_Bridge"",  ""The Harbour Bridge"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Temple_Map_(Betrayal)"",  ""Temple Map"")","","","","","Dawn, Harbinger of Solaris, Solaris, Eternal Sun, Jorus, Sky's Edge"
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Gemcutter%27s_Promise"",  ""Gemcutter's Promise"")",3,"=HYPERLINK("""",  ""Superior GemQuality: +20%"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ebony_Barracks"",  ""The Ebony Barracks"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lunaris_Concourse"",  ""The Lunaris Concourse"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colonnade_Map_(Betrayal)"",  ""Colonnade Map"")","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Gift_of_the_Gemling_Queen"",  ""Gift of the Gemling Queen"")",9,"=HYPERLINK("""",  ""Level 20 Support Gem"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Tunnel"",  ""The Tunnel"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Quarry"",  ""The Quarry"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Crystal_Ore_Map_(Betrayal)"",  ""Crystal Ore Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dig_Map_(Betrayal)"",  ""Dig Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Excavation_Map_(Betrayal)"",  ""Excavation Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Geode_Map_(Betrayal)"",  ""Geode Map"")","",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Glimmer_of_Hope"",  ""Glimmer of Hope"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Gold_Ring"",  ""Gold Ring"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_Sea_Map_(Betrayal)"",  ""Underground Sea Map"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Grave_Knowledge"",  ""Grave Knowledge"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Summon_Raging_Spirit"",  ""Summon Raging SpiritQuality: +20%"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bone_Crypt_Map_(Betrayal)"",  ""Bone Crypt Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Olmec%27s_Sanctum"",  ""Olmec's Sanctum"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cursed_Crypt_Map_(Betrayal)"",  ""Cursed Crypt Map"")","","","","",N/A
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Harmony_of_Souls"",  ""Harmony of Souls"")",9,"=HYPERLINK("""",  ""9x Shrieking Essence"")","","","","","","","","This item can be acquired from map boss versions of the Act 9 Trio (Shavronne, Doedre, & Maligaro)"
0.5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Her_Mask"",  ""Her Mask"")",4,"=HYPERLINK("""",  ""Sacrifice Fragment"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Academy_Map_(Betrayal)"",  ""Academy Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Alleyways_Map_(Betrayal)"",  ""Alleyways Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ancient_City_Map_(Betrayal)"",  ""Ancient City Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arcade_Map_(Betrayal)"",  ""Arcade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arid_Lake_Map_(Betrayal)"",  ""Arid Lake Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ashen_Wood_Map_(Betrayal)"",  ""Ashen Wood Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Atoll_Map_(Betrayal)"",  ""Atoll Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Barrows_Map_(Betrayal)"",  ""Barrows Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Beach_Map_(Betrayal)"",  ""Beach Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Burial_Chambers_Map_(Betrayal)"",  ""Burial Chambers Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cage_Map_(Betrayal)"",  ""Cage Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Canyon_Map_(Betrayal)"",  ""Canyon Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cells_Map_(Betrayal)"",  ""Cells Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cemetery_Map_(Betrayal)"",  ""Cemetery Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Hallowed_Ground_(Betrayal)"",  ""Hallowed Ground"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Channel_Map_(Betrayal)"",  ""Channel Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Chateau_Map_(Betrayal)"",  ""Chateau Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Perandus_Manor_(Betrayal)"",  ""The Perandus Manor"")","=HYPERLINK(""https://pathofexile.gamepedia.com/City_Square_Map_(Betrayal)"",  ""City Square Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Conservatory_Map_(Betrayal)"",  ""Conservatory Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Courthouse_Map_(Betrayal)"",  ""Courthouse Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Desert_Map_(Betrayal)"",  ""Desert Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dungeon_Map_(Betrayal)"",  ""Dungeon Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Excavation_Map_(Betrayal)"",  ""Excavation Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Fields_Map_(Betrayal)"",  ""Fields Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Flooded_Mine_Map_(Betrayal)"",  ""Flooded Mine Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Gorge_Map_(Betrayal)"",  ""Gorge Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Graveyard_Map_(Betrayal)"",  ""Graveyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Grotto_Map_(Betrayal)"",  ""Grotto Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Beachhead_(Low_Tier)_(Betrayal)"",  ""The Beachhead (Low Tier)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Haunted_Mansion_Map_(Betrayal)"",  ""Haunted Mansion Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Iceberg_Map_(Betrayal)"",  ""Iceberg Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ivory_Temple_Map_(Betrayal)"",  ""Ivory Temple Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Jungle_Valley_Map_(Betrayal)"",  ""Jungle Valley Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Leyline_Map_(Betrayal)"",  ""Leyline Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lighthouse_Map_(Betrayal)"",  ""Lighthouse Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lookout_Map_(Betrayal)"",  ""Lookout Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Marshes_Map_(Betrayal)"",  ""Marshes Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mausoleum_Map_(Betrayal)"",  ""Mausoleum Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maze_Map_(Betrayal)"",  ""Maze Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pen_Map_(Betrayal)"",  ""Pen Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Peninsula_Map_(Betrayal)"",  ""Peninsula Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Phantasmagoria_Map_(Betrayal)"",  ""Phantasmagoria Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Port_Map_(Betrayal)"",  ""Port Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Relic_Chambers_Map_(Betrayal)"",  ""Relic Chambers Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Spider_Lair_Map_(Betrayal)"",  ""Spider Lair Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Springs_Map_(Betrayal)"",  ""Springs Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Strand_Map_(Betrayal)"",  ""Strand Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Whakawairua_Tuahu_(Betrayal)"",  ""Whakawairua Tuahu"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sulphur_Vents_Map_(Betrayal)"",  ""Sulphur Vents Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Thicket_Map_(Betrayal)"",  ""Thicket Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Toxic_Sewer_Map_(Betrayal)"",  ""Toxic Sewer Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_Sea_Map_(Betrayal)"",  ""Underground Sea Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Volcano_Map_(Betrayal)"",  ""Volcano Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Wharf_Map_(Betrayal)"",  ""Wharf Map"")",N/A
5.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Heterochromia"",  ""Heterochromia"")",2,"=HYPERLINK(""https://pathofexile.gamepedia.com/Two-Stone_Ring"",  ""Two-Stone Ring"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Estuary_Map_(Betrayal)"",  ""Estuary Map"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Hope"",  ""Hope"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Prismatic_Ring"",  ""Prismatic RingCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Beach_Map_(Betrayal)"",  ""Beach Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dungeon_Map_(Betrayal)"",  ""Dungeon Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Graveyard_Map_(Betrayal)"",  ""Graveyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lookout_Map_(Betrayal)"",  ""Lookout Map"")","","","",N/A
1353.15,"=HYPERLINK(""https://pathofexile.gamepedia.com/House_of_Mirrors"",  ""House of Mirrors"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Mirror_of_Kalandra"",  ""Mirror of Kalandra"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Alluring_Abyss"",  ""The Alluring Abyss"")","","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Hubris"",  ""Hubris"")",5,"=HYPERLINK("""",  ""Ring"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Hedge_Maze"",  ""The Hedge Maze"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Library"",  ""The Library"")","","","","","",Can drop from Jeweller's Strongboxes.
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Humility"",  ""Humility"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Tabula_Rasa"",  ""Tabula Rasa"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Aqueduct"",  ""The Aqueduct"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Blood_Aqueduct"",  ""The Blood Aqueduct"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Channel_Map_(Betrayal)"",  ""Channel Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Waterways_Map_(Betrayal)"",  ""Waterways Map"")","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/Hunter%27s_Resolve"",  ""Hunter's Resolve"")",8,"=HYPERLINK("""",  ""Bow"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Riverways_(Act_6)"",  ""The Riverways (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Springs_Map_(Betrayal)"",  ""Springs Map"")","","","","","",N/A
44.9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Hunter%27s_Reward"",  ""Hunter's Reward"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Taming"",  ""The Taming"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Grotto_Map_(Betrayal)"",  ""Grotto Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Putrid_Cloister_(Betrayal)"",  ""The Putrid Cloister"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_River_Map_(Betrayal)"",  ""Underground River Map"")","","","","",N/A
129.4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Immortal_Resolve"",  ""Immortal Resolve"")",6,"=HYPERLINK("""",  ""Fated Connections"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Carcass_Map_(Betrayal)"",  ""Carcass Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vault_Map_(Betrayal)"",  ""Vault Map"")","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/Jack_in_the_Box"",  ""Jack in the Box"")",4,"=HYPERLINK("""",  ""Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sarn_Ramparts"",  ""The Sarn Ramparts"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Imperial_Fields"",  ""The Imperial Fields"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harbour_Bridge"",  ""The Harbour Bridge"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grand_Promenade"",  ""The Grand Promenade"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Lunaris_Concourse"",  ""The Lunaris Concourse"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Quay"",  ""The Quay"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grain_Gate"",  ""The Grain Gate"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ghetto_Map_(Betrayal)"",  ""Ghetto Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Port_Map_(Betrayal)"",  ""Port Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Promenade_Map_(Betrayal)"",  ""Promenade Map"")",N/A
